epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.8909,2.19704,3.64979,3.14829,1.87501,0.3164,0.20996,0.16823,0.05555,0.30568,0.20285,0.17128,0.05271,2.1068,3.85624,3.14409,1.89315,0.000651515,0.000651515,0.000651515
2,30.3577,1.76637,2.3927,2.16355,1.54526,0.11717,0.07829,0.03066,0.00883,0.07669,0.08897,0.02766,0.00737,2.97826,6.28697,4.97405,2.98682,0.00129208,0.00129208,0.00129208
3,42.378,1.7648,2.26797,1.95521,1.5365,0.54066,0.39502,0.40764,0.18334,0.61332,0.42335,0.45256,0.22718,2.1769,2.64054,3.46142,2.28302,0.00190625,0.00190625,0.00190625
4,60.9112,1.78227,2.1942,1.8221,1.52436,0.75466,0.42349,0.51733,0.24191,0.7133,0.46263,0.52978,0.25695,2.06699,2.53876,2.29379,1.95821,0.0018812,0.0018812,0.0018812
5,123.072,1.70456,1.94839,1.61115,1.46833,0.4275,0.34875,0.32918,0.14564,0.44272,0.34164,0.36082,0.16286,2.02822,2.79698,2.66714,1.92193,0.0018416,0.0018416,0.0018416
6,134.762,1.65221,1.99239,1.52718,1.44121,0.62798,0.55872,0.5751,0.23556,0.65443,0.57284,0.594,0.30366,1.97962,2.25336,1.97985,1.78371,0.001802,0.001802,0.001802
7,146.231,1.56464,1.95433,1.44401,1.40036,0.74516,0.56228,0.62628,0.32337,0.77106,0.58363,0.65576,0.3578,1.81462,2.21984,1.5147,1.6967,0.0017624,0.0017624,0.0017624
8,157.727,1.54825,1.86415,1.38942,1.39365,0.77313,0.58719,0.66873,0.36593,0.78844,0.59786,0.67902,0.3759,1.63119,2.1815,1.48939,1.56902,0.0017228,0.0017228,0.0017228
9,169.231,1.50497,1.79559,1.30351,1.35197,0.7482,0.50534,0.59348,0.30409,0.77632,0.53025,0.6303,0.36407,1.89486,1.97286,1.60173,1.70436,0.0016832,0.0016832,0.0016832
10,180.673,1.49287,1.75908,1.31736,1.35121,0.70216,0.64413,0.70257,0.3784,0.78634,0.62867,0.72193,0.41082,1.64352,1.92651,1.3113,1.52728,0.0016436,0.0016436,0.0016436
11,192.106,1.44707,1.73598,1.20643,1.31459,0.63856,0.57213,0.6325,0.31953,0.66359,0.63178,0.70128,0.36608,1.82335,1.91114,1.36801,1.63956,0.001604,0.001604,0.001604
12,203.661,1.40962,1.66495,1.17027,1.29211,0.81078,0.6548,0.728,0.41179,0.80509,0.66149,0.74119,0.42524,1.6039,1.84213,1.291,1.51895,0.0015644,0.0015644,0.0015644
13,215.34,1.37476,1.64395,1.10629,1.28622,0.77929,0.66548,0.75428,0.42659,0.78219,0.69039,0.76504,0.45668,1.57112,1.75181,1.2006,1.47328,0.0015248,0.0015248,0.0015248
14,227.204,1.32421,1.51789,1.06524,1.25065,0.76886,0.66904,0.75879,0.43765,0.80015,0.64116,0.76576,0.45257,1.53963,1.69024,1.11458,1.47672,0.0014852,0.0014852,0.0014852
15,239.584,1.27709,1.56069,1.05463,1.23106,0.76852,0.63345,0.73145,0.40877,0.75886,0.63345,0.72898,0.42202,1.57628,1.87141,1.18846,1.48714,0.0014456,0.0014456,0.0014456
16,251.074,1.26462,1.53869,1.00661,1.23532,0.83843,0.64769,0.76556,0.44079,0.83677,0.64769,0.76528,0.4623,1.52271,1.66763,1.09615,1.43236,0.001406,0.001406,0.001406
17,262.988,1.25262,1.48639,0.989,1.22082,0.79649,0.70819,0.78946,0.46381,0.82693,0.7153,0.80785,0.46969,1.49517,1.83941,1.05141,1.46433,0.0013664,0.0013664,0.0013664
18,274.845,1.23921,1.53334,0.98864,1.21548,0.83318,0.69321,0.79277,0.4621,0.83408,0.69395,0.7781,0.45653,1.44798,1.975,1.07063,1.41444,0.0013268,0.0013268,0.0013268
19,286.744,1.20319,1.44437,0.96034,1.19067,0.77071,0.70574,0.77748,0.47377,0.73809,0.71206,0.77061,0.48095,1.40557,1.67833,1.0485,1.37212,0.0012872,0.0012872,0.0012872
