epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.6996,2.19704,3.64979,3.14829,1.87501,0.3164,0.20996,0.16823,0.05555,0.30568,0.20285,0.17128,0.05271,2.1068,3.85624,3.14409,1.89315,0.000651515,0.000651515,0.000651515
2,43.449,1.77985,2.3951,2.18226,1.53628,0.04829,0.05694,0.00888,0.00272,0.02572,0.04626,0.00645,0.00206,2.78989,5.24012,4.51665,2.81986,0.00131166,0.00131166,0.00131166
3,56.1763,1.81123,2.29078,2.02638,1.5745,0.47462,0.37367,0.37818,0.15718,0.46806,0.3879,0.3884,0.17923,2.19222,2.77764,4.78528,2.11303,0.0019652,0.0019652,0.0019652
4,71.1688,1.78358,2.22786,1.78889,1.50652,0.53005,0.44128,0.45791,0.2029,0.56977,0.47331,0.49877,0.26958,2.19193,2.66581,2.09335,2.11391,0.0019703,0.0019703,0.0019703
5,90.2466,1.68331,2.01204,1.63892,1.45641,0.59257,0.47101,0.51832,0.22769,0.6271,0.49466,0.54311,0.2683,2.04474,2.36664,1.85344,1.79731,0.0019604,0.0019604,0.0019604
6,102.321,1.67641,1.98083,1.53178,1.43689,0.57235,0.43416,0.44412,0.19494,0.59317,0.4484,0.48378,0.21841,1.98839,2.39729,2.20971,1.90282,0.0019505,0.0019505,0.0019505
7,114.049,1.64741,2.03475,1.46446,1.43807,0.6758,0.53025,0.58702,0.28246,0.72179,0.5516,0.6328,0.33068,1.90526,2.45755,1.57705,1.71863,0.0019406,0.0019406,0.0019406
8,126.256,1.5567,1.84617,1.35476,1.38833,0.67629,0.52045,0.61492,0.2962,0.70404,0.5418,0.64889,0.34721,1.84289,2.1003,1.65068,1.67473,0.0019307,0.0019307,0.0019307
9,141.834,1.50241,1.79329,1.28887,1.35192,0.68436,0.60142,0.64701,0.33479,0.73383,0.61811,0.68684,0.38212,1.79343,2.22344,1.39477,1.6277,0.0019208,0.0019208,0.0019208
10,164.026,1.56348,1.8296,1.34289,1.36798,0.66858,0.52669,0.61603,0.31545,0.68579,0.54371,0.62716,0.35356,1.80559,2.11013,1.46679,1.62654,0.0019109,0.0019109,0.0019109
11,176.005,1.4869,1.78994,1.24349,1.3466,0.76499,0.57295,0.67999,0.35539,0.76974,0.57651,0.6831,0.35574,1.7463,2.02012,1.36317,1.634,0.001901,0.001901,0.001901
12,187.681,1.4583,1.77559,1.21611,1.32193,0.75114,0.60142,0.70276,0.3822,0.8126,0.60142,0.71697,0.39538,1.63529,2.05758,1.26149,1.52028,0.0018911,0.0018911,0.0018911
13,199.419,1.41046,1.71267,1.14605,1.2955,0.81387,0.62278,0.74412,0.3798,0.8446,0.62633,0.75272,0.43164,1.68723,1.83245,1.26545,1.56534,0.0018812,0.0018812,0.0018812
14,211.365,1.39163,1.61143,1.13259,1.29461,0.82453,0.62633,0.73438,0.40684,0.83494,0.64806,0.74391,0.42705,1.60776,1.95498,1.19597,1.51442,0.0018713,0.0018713,0.0018713
15,223.057,1.40684,1.65772,1.13135,1.29177,0.71503,0.57651,0.65412,0.34173,0.7499,0.59075,0.67285,0.37859,1.74964,2.04512,1.39545,1.62236,0.0018614,0.0018614,0.0018614
16,234.806,1.33389,1.63065,1.08353,1.27836,0.77087,0.63457,0.73808,0.4344,0.77372,0.66925,0.75754,0.46246,1.54166,1.76553,1.12309,1.47786,0.0018515,0.0018515,0.0018515
17,246.752,1.33175,1.59599,1.06464,1.26449,0.75377,0.6726,0.74807,0.41647,0.76656,0.70463,0.77012,0.4442,1.6163,1.82664,1.1107,1.49857,0.0018416,0.0018416,0.0018416
18,258.692,1.30979,1.63434,1.03262,1.25234,0.73233,0.61922,0.71218,0.40978,0.71829,0.6533,0.70786,0.41457,1.53217,2.05134,1.18253,1.5263,0.0018317,0.0018317,0.0018317
19,271.129,1.29845,1.55537,1.01133,1.24323,0.82648,0.71191,0.7768,0.43782,0.82686,0.71381,0.77929,0.45701,1.56421,1.81875,1.11773,1.4736,0.0018218,0.0018218,0.0018218
20,283.141,1.26303,1.47718,0.97148,1.21444,0.89129,0.67616,0.80279,0.48798,0.84646,0.67972,0.78872,0.48834,1.45775,1.84404,1.0586,1.4179,0.0018119,0.0018119,0.0018119
21,295.204,1.24569,1.49523,0.96211,1.20778,0.76633,0.67693,0.77382,0.44381,0.77825,0.67972,0.78181,0.46803,1.4656,1.68916,1.10541,1.42987,0.001802,0.001802,0.001802
